Matrix_Size,NNZ_Ratio,Mean_Time_ms,Std_Time_ms,Failed,Dense_Time_ms,Speedup,Device,PyTorch_Version
8192,0.005,58.6276,0.1433,False,295.1001,5.0335,mps,2.10.0a0+gitae25447
8192,0.006,69.2892,0.1336,False,295.1001,4.2590,mps,2.10.0a0+gitae25447
8192,0.007,80.0781,0.4013,False,295.1001,3.6852,mps,2.10.0a0+gitae25447
8192,0.008,91.2498,0.5644,False,295.1001,3.2340,mps,2.10.0a0+gitae25447
8192,0.009,101.7732,0.4442,False,295.1001,2.8996,mps,2.10.0a0+gitae25447
8192,0.01,121.5710,19.5557,False,295.1001,2.4274,mps,2.10.0a0+gitae25447
8192,0.015,177.2922,18.3188,False,295.1001,1.6645,mps,2.10.0a0+gitae25447
8192,0.02,228.5390,15.9056,False,295.1001,1.2912,mps,2.10.0a0+gitae25447
8192,0.025,283.1389,15.7621,False,295.1001,1.0422,mps,2.10.0a0+gitae25447
8192,0.03,342.1768,15.4456,False,295.1001,0.8624,mps,2.10.0a0+gitae25447
8192,0.035,395.5900,16.9952,False,295.1001,0.7460,mps,2.10.0a0+gitae25447
8192,0.04,451.2093,16.7974,False,295.1001,0.6540,mps,2.10.0a0+gitae25447
8192,0.045,532.8020,18.4607,False,295.1001,0.5539,mps,2.10.0a0+gitae25447
8192,0.05,610.8632,17.6192,False,295.1001,0.4831,mps,2.10.0a0+gitae25447
8192,0.1,1708.3417,10.9134,False,295.1001,0.1727,mps,2.10.0a0+gitae25447
16384,0.001,156.3921,70.1815,False,2586.2392,16.5369,mps,2.10.0a0+gitae25447
16384,0.002,211.8716,14.7155,False,2586.2392,12.2066,mps,2.10.0a0+gitae25447
16384,0.003,336.6791,83.7529,False,2586.2392,7.6816,mps,2.10.0a0+gitae25447
16384,0.004,395.9957,20.8818,False,2586.2392,6.5310,mps,2.10.0a0+gitae25447
16384,0.005,485.0780,15.8481,False,2586.2392,5.3316,mps,2.10.0a0+gitae25447
16384,0.006,579.2177,16.4678,False,2586.2392,4.4651,mps,2.10.0a0+gitae25447
16384,0.007,678.4240,16.8704,False,2586.2392,3.8121,mps,2.10.0a0+gitae25447
16384,0.008,765.0105,13.9821,False,2586.2392,3.3807,mps,2.10.0a0+gitae25447
16384,0.009,860.8670,21.9664,False,2586.2392,3.0042,mps,2.10.0a0+gitae25447
16384,0.01,954.0964,14.7021,False,2586.2392,2.7107,mps,2.10.0a0+gitae25447
16384,0.015,1427.3284,16.6883,False,2586.2392,1.8119,mps,2.10.0a0+gitae25447
16384,0.02,1928.3937,37.6192,False,2586.2392,1.3411,mps,2.10.0a0+gitae25447
16384,0.025,2601.4785,38.7636,False,2586.2392,0.9941,mps,2.10.0a0+gitae25447
16384,0.03,3428.0760,81.5898,False,2586.2392,0.7544,mps,2.10.0a0+gitae25447
16384,0.035,4393.6825,152.9515,False,2586.2392,0.5886,mps,2.10.0a0+gitae25447
16384,0.04,5398.8901,45.0205,False,2586.2392,0.4790,mps,2.10.0a0+gitae25447
16384,0.045,7105.6726,166.5713,False,2586.2392,0.3640,mps,2.10.0a0+gitae25447
16384,0.05,8959.1207,385.6852,False,2586.2392,0.2887,mps,2.10.0a0+gitae25447
16384,0.1,26199.1854,162.5939,False,2586.2392,0.0987,mps,2.10.0a0+gitae25447
